frame,x,y,sigma,intensity,offsetphoton,backgsrdpho,chi2,uncertainity,track_id,track_color
1,740.333681412829,3157.37687085047,105.85861057802,3472.00770719317,872.92679333526,136.555601408641,70503.409068809,20.9284018783738,0,0
1,1047.1781567029,1803.04496618391,93.1266440474436,3159.73352927319,932.232899565538,142.247742511234,76503.5950832358,18.5474844637622,0,0
1,1100.08182030788,801.674693142776,101.657056495665,10055.4806694529,991.1392655352,139.309845892086,73376.1133328855,6.85350271656497,5,6
1,1251.39457301081,5855.91120865829,101.933201031234,4940.2932867499,883.097388708339,134.717591643265,68618.2596767701,13.4856510340895,2,3
1,1462.03216069885,1427.39770050542,93.5692534861825,7946.88908159386,981.943557549287,131.717876688207,65596.4872831419,6.95149888916421,0,0
1,2100.40733662491,8419.21981971506,75.9709440116603,3055.3800468182,822.290555584587,118.509043903614,53099.9445108397,10.6907251431695,7,2
1,2675.24887238194,1329.92632232637,84.7774004249425,8748.25106990073,897.283385194598,126.254935237798,60268.1423552979,4.9994526167138,14,3
1,2966.18854155931,9396.6495502225,84.3421540790676,7969.28931436952,946.763828164624,132.165568220622,66043.1430347931,5.66938513321851,4,5
1,3007.6266398483,7326.68067521263,127.826327792178,4965.41105757613,839.433796436574,131.072908687975,64955.6529478696,20.48426806035,15,4
1,3710.82683577861,8815.86536418527,95.8749562262784,18543.4913118291,957.935940077062,150.776079467457,85951.9969783424,3.61123726915371,10,5
1,4684.81345253145,6684.81737863674,149.264126805451,6632.59648500585,1035.90962886825,141.151251736386,75328.7127678423,22.5025831237352,12,1
1,4781.23154183295,2510.64152106582,166.008963201178,6673.53826113591,807.476737625551,135.943501576736,69872.7735671008,26.631199763336,16,5
1,4939.72111264774,3730.26162066841,82.5444298813063,2265.82839442201,825.5425912081,124.751907753847,58841.7351246661,17.8384239456413,17,6
1,5718.15128517327,9462.73912480172,84.9340634184933,3648.27491759184,947.070701203429,142.748731451484,77043.4271774219,13.4328374946413,0,0
1,6293.4774395723,9593.68007688429,157.397405862538,15821.3445159669,1087.23336256741,227.746522031639,196107.672575454,16.9143183665718,11,6
1,6839.08456357327,9577.52813525656,102.4538735789,7633.20134613263,1094.44921038241,148.1447602517,82978.1373951702,9.71238797358748,1,2
1,7105.69288103525,2154.41592685078,125.020104713438,13482.568415458,845.011975076351,134.573899202735,68471.95856364,7.46119681865491,6,1
1,7348.64337001532,8176.47550866903,88.2647310870498,6895.0373903502,1133.23795832769,227.198451035425,195164.945844912,12.1930898742397,8,3
1,7551.81610809692,3081.55909070963,110.094999534953,4177.0803268383,832.173191610788,101.427676830325,38895.9188065315,14.0316312612394,0,0
1,7569.49232820466,9380.77970540377,116.185065010891,13316.7551807087,1152.25697294626,160.328158005221,97187.561282254,7.75664739476758,3,4
1,7638.244689484,5601.44407157012,94.0866025207953,2623.17534785471,951.406032108725,120.811727645379,55183.5033407714,19.3784925145456,19,2
1,7679.98028718048,8524.54998247657,95.4306504879317,4631.07438870334,1127.30449257825,248.577991674027,233623.447476529,23.1659457955137,18,1
1,7809.99332000756,6720.03245934112,63.4129954792444,1650.69416250341,914.359849465424,119.073714103081,53607.169771166,13.8279442084016,0,0
1,8466.94816052249,7821.37768184802,22.4504309781693,1149.79042089358,1027.36550789155,137.557411649936,71541.6692665503,3.06363128278826,0,0
1,8734.24475229539,9594.59755426608,98.882702511959,5286.48945237252,1409.29440184774,217.892673537443,179504.910640133,19.1134022339427,9,4
1,9439.14963737448,9180.78132323522,97.3868283626704,4148.37073484658,1379.33582597439,216.101140609134,176565.235177361,23.4202078515063,13,2
2,1106.96924857362,786.29008848878,116.479997760074,10674.4502370945,906.880631474544,151.265153380555,86510.5080824872,9.16747106976146,5,6
2,1215.11288124937,5859.4092374627,240.469404002127,19742.8697327083,698.084301456282,142.119088033689,76365.2719139919,19.7622807551546,2,3
2,2114.85549684764,8405.1332650555,81.8382860775382,3223.69287333534,821.944264319602,141.807695887007,76030.9959896841,14.0186346748174,7,2
2,2368.68414918162,6399.35510524777,122.450158556827,3268.71913635676,997.111075259656,147.67067257282,82447.8973295032,32.112793197846,0,0
2,2645.69843547083,1324.8118140859,73.3412377872553,3216.65947908638,912.59944248167,127.545348874402,61506.40316012,10.184038638038,14,3
2,2879.35240932315,9429.71842412784,102.977968349995,7652.87476922234,898.77977808824,127.148046450512,61123.8163651931,8.42274161553614,4,5
2,3013.02034537442,7363.65363537462,131.819428551761,5579.56756887188,863.512960059787,146.663599459819,81327.1881881944,21.6778715602851,15,4
2,3716.39497143934,8856.52363388319,101.584043384208,17540.3781076646,902.166656545192,126.680814025961,60675.4169347485,3.6146999604862,10,5
2,4704.762383601,6655.74097709173,152.199832677636,9387.2538133723,991.180577454692,165.981459974061,104162.222816685,19.4376634366827,12,1
2,4791.59152194621,2439.80113899888,94.8404357362714,4978.39786806782,865.313881282807,117.242845918572,51971.3241540635,10.1174575497106,16,5
2,5001.44949282993,3682.62622747593,87.4984185623156,2297.10776388857,864.586246874832,115.113760819409,50100.9042106027,18.2479211858523,17,6
2,6285.97242433212,9611.57919837076,155.488323875296,22306.1047108421,1013.88693472478,288.06396027687,313739.30674086,14.8044788259317,11,6
2,6845.15562486435,9550.31806116808,94.6994080348966,7593.41468736108,1101.04798787846,142.502242021335,76777.5895119015,8.0411519074907,1,2
2,7107.48471608653,2145.6928254482,110.982642226847,13266.8669094164,911.007682268132,138.74990866643,72787.447576558,6.17384380513525,6,1
2,7402.85451511736,8140.4894000075,84.8100440147444,8587.67851092542,1097.31711860397,188.48382265111,134319.553908764,7.52945023240294,8,3
2,7566.46279500247,9408.83789156792,98.2879817657375,11460.2648640578,1163.38852923617,147.118266527234,81832.2093327882,5.94355689589833,3,4
2,7687.27970015239,8510.81926779003,91.2457681347708,4404.76650634867,1152.75057559978,278.491702882966,293234.864182371,24.9381560925025,18,1
2,7722.78640737582,5549.87676301435,213.905857477968,15676.3459790467,797.402823219383,121.97351671012,56249.9537158929,16.9258144354748,19,2
2,8749.09822761895,5435.19428294199,101.971485073647,7200.52413805732,948.788427984198,104.899572718138,41604.3287778011,7.27344946823593,20,3
